,Name,Count,Flag
133,"('SET', 'USE')",10,Stopwords
134,"('SET', 'PRESS')",2,Stopwords
135,"('SET', 'MAKE')",16,Stopwords
136,"('SET', 'COVER')",9,Stopwords
137,"('SET', 'HEAT')",4,Stopwords
138,"('SET', 'REMOVE')",45,Stopwords
139,"('SET', 'PEEL')",2,Stopwords
140,"('SET', 'DRAIN')",8,Stopwords
141,"('SET', 'ENJOY')",1,Stopwords
142,"('SET', 'FREEZE')",2,Stopwords
143,"('SET', 'TOSS')",2,Stopwords
144,"('SET', 'LADLE')",1,Stopwords
145,"('SET', 'BE')",19,Stopwords
146,"('USE', 'PRESS')",1,Stopwords
147,"('USE', 'MAKE')",22,Stopwords
148,"('USE', 'COVER')",4,Stopwords
149,"('USE', 'HEAT')",3,Stopwords
150,"('USE', 'REMOVE')",38,Stopwords
151,"('USE', 'ADD')",42,Stopwords
152,"('USE', 'PEEL')",6,Stopwords
153,"('USE', 'DRAIN')",5,Stopwords
154,"('USE', 'ENJOY')",2,Stopwords
155,"('USE', 'FREEZE')",3,Stopwords
156,"('USE', 'TOSS')",3,Stopwords
157,"('USE', 'LADLE')",1,Stopwords
158,"('USE', 'BE')",38,Stopwords
159,"('PRESS', 'MAKE')",4,Stopwords
160,"('PRESS', 'COVER')",1,Clean
161,"('PRESS', 'HEAT')",2,Clean
162,"('PRESS', 'REMOVE')",3,Stopwords
163,"('PRESS', 'ADD')",4,Stopwords
164,"('PRESS', 'PEEL')",1,Clean
165,"('PRESS', 'DRAIN')",1,Clean
166,"('PRESS', 'ENJOY')",1,Clean
167,"('PRESS', 'FREEZE')",1,Clean
168,"('PRESS', 'TOSS')",1,Clean
169,"('PRESS', 'LADLE')",1,Clean
170,"('PRESS', 'BE')",2,Stopwords
171,"('MAKE', 'COVER')",6,Stopwords
172,"('MAKE', 'HEAT')",4,Stopwords
173,"('MAKE', 'REMOVE')",45,Stopwords
174,"('MAKE', 'ADD')",58,Stopwords
175,"('MAKE', 'PEEL')",6,Stopwords
176,"('MAKE', 'DRAIN')",8,Stopwords
177,"('MAKE', 'ENJOY')",3,Stopwords
178,"('MAKE', 'FREEZE')",6,Stopwords
179,"('MAKE', 'TOSS')",2,Stopwords
180,"('MAKE', 'LADLE')",1,Stopwords
181,"('MAKE', 'BE')",42,Stopwords
182,"('COVER', 'HEAT')",1,Clean
183,"('COVER', 'REMOVE')",25,Stopwords
184,"('COVER', 'PEEL')",4,Clean
185,"('COVER', 'DRAIN')",7,Clean
186,"('COVER', 'ENJOY')",2,Clean
187,"('COVER', 'FREEZE')",2,Clean
188,"('COVER', 'TOSS')",1,Clean
189,"('COVER', 'LADLE')",1,Clean
190,"('COVER', 'BE')",18,Stopwords
191,"('HEAT', 'REMOVE')",7,Stopwords
192,"('HEAT', 'ADD')",9,Stopwords
193,"('HEAT', 'PEEL')",1,Clean
194,"('HEAT', 'DRAIN')",1,Clean
195,"('HEAT', 'ENJOY')",1,Clean
196,"('HEAT', 'FREEZE')",2,Clean
197,"('HEAT', 'TOSS')",1,Clean
198,"('HEAT', 'LADLE')",1,Clean
199,"('HEAT', 'BE')",5,Stopwords
200,"('REMOVE', 'DRAIN')",19,Stopwords
201,"('REMOVE', 'ENJOY')",4,Stopwords
202,"('REMOVE', 'FREEZE')",3,Stopwords
203,"('REMOVE', 'TOSS')",4,Stopwords
204,"('REMOVE', 'LADLE')",2,Stopwords
205,"('REMOVE', 'BE')",50,Stopwords
206,"('ADD', 'DRAIN')",21,Stopwords
207,"('ADD', 'ENJOY')",5,Stopwords
208,"('ADD', 'FREEZE')",5,Stopwords
209,"('ADD', 'TOSS')",5,Stopwords
210,"('ADD', 'LADLE')",2,Stopwords
211,"('ADD', 'BE')",47,Stopwords
212,"('PEEL', 'DRAIN')",2,Clean
213,"('PEEL', 'ENJOY')",1,Clean
214,"('PEEL', 'FREEZE')",1,Clean
215,"('PEEL', 'TOSS')",1,Clean
216,"('PEEL', 'LADLE')",1,Clean
217,"('PEEL', 'BE')",9,Stopwords
218,"('DRAIN', 'ENJOY')",1,Clean
219,"('DRAIN', 'FREEZE')",1,Clean
220,"('DRAIN', 'TOSS')",1,Clean
221,"('DRAIN', 'LADLE')",1,Clean
222,"('DRAIN', 'BE')",9,Stopwords
223,"('ENJOY', 'FREEZE')",1,Clean
224,"('ENJOY', 'TOSS')",1,Clean
225,"('ENJOY', 'LADLE')",1,Clean
226,"('ENJOY', 'BE')",3,Stopwords
227,"('FREEZE', 'TOSS')",1,Clean
228,"('FREEZE', 'LADLE')",1,Clean
229,"('FREEZE', 'BE')",5,Stopwords
230,"('TOSS', 'LADLE')",1,Clean
231,"('TOSS', 'BE')",2,Stopwords
232,"('LADLE', 'BE')",1,Stopwords
233,"('PEEL', 'COVER')",1,Clean
234,"('PEEL', 'PASTRY')",1,Clean
235,"('PEEL', 'CORE')",1,Clean
236,"('COVER', 'PASTRY')",1,Clean
237,"('COVER', 'CORE')",1,Clean
238,"('PASTRY', 'CORE')",1,Clean
239,"('TASTE', 'BROWN')",4,Stopwords
240,"('TASTE', 'ADD')",20,Stopwords
241,"('BROWN', 'ADD')",24,Stopwords
242,"('CREATE', 'COOK')",4,Stopwords
243,"('CREATE', 'PRESS')",1,Clean
244,"('CREATE', 'BRUSH')",3,Clean
245,"('CREATE', 'ADD')",13,Stopwords
246,"('CREATE', 'MIX')",2,Stopwords
247,"('CREATE', 'TAKE')",5,Stopwords
248,"('CREATE', 'SEAL')",2,Clean
249,"('COOK', 'PRESS')",3,Stopwords
250,"('COOK', 'BRUSH')",2,Stopwords
251,"('COOK', 'MIX')",11,Stopwords
252,"('COOK', 'TAKE')",15,Stopwords
253,"('COOK', 'SEAL')",4,Stopwords
254,"('PRESS', 'BRUSH')",1,Clean
255,"('PRESS', 'MIX')",2,Stopwords
256,"('PRESS', 'TAKE')",1,Stopwords
257,"('PRESS', 'SEAL')",1,Clean
258,"('BRUSH', 'ADD')",4,Stopwords
259,"('BRUSH', 'MIX')",1,Stopwords
