,Name,Count,Flag
223,BRAN,2,Clean
224,CEREAL,4,Clean
225,CROCK,3,Clean
226,KERNEL,4,Clean
227,PROMISE,6,Clean
228,BUTTERY,7,Clean
229,HAM,15,Clean
230,YEAST,15,Clean
231,TABLE,1,Clean
232,TUNA,3,Clean
233,TEENY,1,Clean
234,MARGARINE,2,Clean
235,AVOCADO,20,Clean
236,BROOK,4,Clean
237,FARM,2,Clean
238,LEAN,3,Clean
239,CHOLESTEROL,2,Clean
240,GRANNY,5,Clean
241,SMITH,4,Clean
242,PURPOSE,5,Stopwords
243,QUALITY,3,Clean
244,SODA,14,Clean
245,CIDER,17,Clean
246,BUTTON,3,Clean
247,MARJORAM,2,Clean
248,BLUE,2,Clean
249,WAY,1,Clean
250,CANDY,4,Clean
251,HERB,3,Clean
252,PEPPERONI,1,Clean
253,SQUASH,18,Stopwords
254,COARSE,13,Clean
255,SPICE,26,Clean
256,BLACKSTRAP,1,Clean
257,INCH,21,Stopwords
258,DAIKON,1,Clean
259,POTATO,16,Clean
260,DAIRY,4,Clean
261,DESSERT,1,Clean
262,WAFER,3,Clean
263,FIRE,2,Clean
264,BUNCH,22,Stopwords
265,GOLD,8,Clean
266,BASE,3,Clean
267,ALLSPICE,6,Clean
268,QUART,5,Clean
269,PLUM,7,Clean
270,SPRING,6,Clean
271,ROLL,4,Clean
272,CARROT,20,Clean
273,SEEDLESS,7,Clean
274,KAFFIR,2,Clean
275,STALK,12,Clean
276,TORN,1,Clean
277,REGULAR,5,Clean
278,PINEAPPLE,12,Clean
279,WHIPPING,3,Clean
280,GRAPEFRUIT,5,Clean
281,PINT,9,Stopwords
282,SEASONING,2,Clean
283,MILD,5,Clean
284,HASH,4,Clean
285,BROWN,24,Stopwords
286,CUTTLEFISH,1,Clean
287,LEAF,33,Stopwords
288,OKRA,1,Clean
289,WRAP,1,Clean
290,FOIL,1,Clean
291,PICO,2,Clean
292,BUTTERNUT,8,Clean
293,GOAT,6,Clean
294,PAD,1,Clean
295,ZUCCHINI,18,Clean
296,QUICK,1,Clean
297,PART,13,Clean
298,SKIM,11,Clean
299,BUTTERMILK,14,Clean
300,TYPE,1,Clean
301,LAMB,3,Clean
302,PUREE,3,Clean
303,YOGHURT,1,Clean
304,RUMP,1,Clean
305,CAGE,1,Clean
306,OYSTER,7,Clean
307,VERMOUTH,1,Clean
308,CABBAGE,22,Clean
309,TORTILLA,4,Clean
310,FISH,4,Clean
311,HALIBUT,2,Clean
312,SEED,7,Clean
313,BAMBOO,1,Clean
314,BRANDY,2,Clean
315,BROTH,24,Clean
316,WHOLE,2,Stopwords
317,FRESH,9,Stopwords
318,BAGUETTE,6,Clean
319,LAN,1,Clean
320,CANTALOUPE,1,Clean
321,KIWI,3,Clean
322,RASPBERRY,3,Clean
323,HAZELNUT,3,Clean
324,PARMA,1,Clean
325,NAPA,1,Clean
326,MUSHROOM,6,Clean
327,GRILL,1,Clean
328,CALORIE,2,Clean
329,GRASS,2,Clean
330,PIECE,11,Clean
331,AID,1,Clean
332,STRAWBERRY,6,Clean
333,BLADE,2,Clean
334,LAVENDER,2,Clean
335,BANANA,8,Clean
336,BALL,3,Clean
337,PARK,4,Clean
338,DOG,1,Clean
339,KILOGRAM,5,Clean
340,FAT,7,Stopwords
341,HALF,13,Stopwords
342,BEATEN,2,Stopwords
343,TWINE,1,Clean
344,CHAR,1,Clean
345,WEDGE,2,Clean
346,MUNG,2,Clean
347,ST,1,Clean
348,CRISPY,1,Clean
349,STRIP,4,Clean
350,WASH,1,Clean
351,SERRANO,4,Clean
352,JACK,8,Clean
353,STEW,2,Clean
354,TURMERIC,2,Clean
355,BULK,1,Clean
356,PIZZA,5,Clean
357,SOUP,10,Clean
358,MACAROON,1,Clean
359,ICING,2,Clean
360,TEA,17,Clean
361,APPLESAUCE,3,Clean
362,EQUILIBRIUM,1,Clean
363,BRINE,1,Clean
364,KETCHUP,2,Clean
365,BIBB,1,Clean
366,CHARD,2,Clean
367,RECIPE,6,Clean
368,SKIN,4,Clean
369,STARCH,9,Clean
370,ROOM,9,Clean
371,TEMPERATURE,9,Clean
372,GARNISH,5,Clean
373,COD,5,Clean
374,POULTRY,1,Clean
375,MINCE,1,Clean
376,STICK,7,Clean
377,KIDNEY,6,Clean
378,DATE,2,Clean
379,DASH,9,Clean
380,VEGETABLE,2,Clean
381,HARD,1,Clean
382,BLANCO,1,Clean
383,CRUST,4,Clean
384,JASMINE,2,Clean
385,CARDAMOM,3,Clean
386,MATZOS,1,Clean
387,FENNEL,4,Clean
388,CLAM,1,Clean
389,LOX,1,Clean
390,SLICED,1,Stopwords
391,BARILLA,1,Clean
392,JUMBO,2,Clean
393,LITER,4,Clean
394,BRICK,2,Clean
395,SIDE,1,Clean
396,PEEL,3,Clean
397,WASABI,2,Clean
398,THICK,2,Clean
399,FIRM,5,Clean
400,FILLET,1,Clean
401,BASS,1,Clean
402,COFFEE,7,Clean
403,CHUCK,3,Clean
404,EYE,2,Clean
405,HEART,1,Clean
406,CRANBERRY,4,Clean
407,CHICK,1,Clean
408,ENVELOPE,4,Clean
409,SUPERFINE,1,Clean
410,MINIATURE,1,Clean
411,JICAMA,1,Clean
412,BOW,1,Clean
413,HOUSE,1,Clean
414,WINTER,2,Clean
415,PEPPERCORN,1,Clean
416,VERI,2,Clean
417,TRUFFLE,1,Clean
418,SMOOTH,2,Clean
419,PACKET,4,Clean
420,REDUCTION,1,Clean
421,EGGPLANT,4,Clean
422,SUMMER,2,Clean
423,RYE,4,Clean
424,MACE,3,Clean
425,PANDAN,1,Clean
426,CAULIFLOWER,4,Clean
427,GREEN,11,Stopwords
428,CREAMY,1,Clean
429,BEETROOT,1,Clean
430,FRESCO,3,Clean
431,RIB,6,Clean
432,CASTER,3,Clean
433,POD,2,Clean
434,COCKTAIL,1,Clean
435,PUDDING,2,Clean
436,CHILE,9,Clean
437,SCOOP,1,Clean
438,ICEBERG,3,Clean
439,HEAVY,2,Stopwords
440,BUTTERSCOTCH,1,Clean
441,APRICOT,1,Clean
442,JAM,5,Clean
443,MOISTURE,2,Clean
444,ASPARAGUS,3,Clean
445,CHUNKY,1,Clean
446,ZEST,5,Clean
447,CITRUS,2,Clean
448,SPONGE,1,Clean
449,KANGAROO,1,Clean
450,SUM,1,Clean
451,BLOCK,4,Clean
452,NONFAT,1,Clean
453,TOFU,3,Clean
454,COLORING,2,Clean
455,BALSAMIC,4,Clean
456,WATERMELON,5,Clean
457,MUFFIN,1,Clean
458,GREY,1,Clean
459,MIN,1,Clean
460,SQUID,1,Clean
461,SHERRY,2,Clean
462,CONVERT,2,Clean
463,GUM,2,Clean
464,STRAW,1,Clean
465,SELF,1,Clean
466,CAKE,6,Clean
467,PASSION,1,Clean
468,EQUIPMENT,1,Clean
469,RIND,2,Clean
470,VERBENA,1,Clean
471,SCALLION,3,Clean
472,SHELL,2,Clean
473,LIQUOR,1,Clean
474,LUMP,1,Clean
475,FUJI,1,Clean
476,GALA,2,Clean
477,CORE,1,Clean
478,STEVIA,1,Clean
479,LITE,1,Clean
480,TARTAR,2,Clean
481,SIZE,3,Stopwords
482,PORTERHOUSE,1,Clean
483,CREAMER,1,Clean
484,CHUNK,3,Clean
485,HEMP,1,Clean
486,JERK,1,Clean
487,COURSE,1,Clean
488,SERVE,1,Clean
489,HEN,1,Clean
490,BLOOD,2,Clean
491,INSTANT,1,Clean
492,TAP,1,Clean
493,MARASCHINO,2,Clean
494,GINGERSNAP,2,Clean
495,WAFFLE,1,Clean
496,ROUND,6,Clean
497,PAPAYA,1,Clean
498,PALM,1,Clean
499,STRING,1,Clean
500,ANCHOVY,1,Clean
501,KALE,2,Clean
502,SHOT,1,Clean
503,ROCKET,1,Clean
504,COLESLAW,1,Clean
505,SANDWICH,3,Clean
506,SIRLOIN,2,Clean
507,GHEE,1,Clean
508,BEER,4,Clean
509,SPICY,1,Clean
510,WALNUT,1,Clean
511,LOLLIPOP,1,Clean
512,GRAVY,2,Clean
513,VEAL,1,Clean
514,WHIP,1,Clean
515,HEATH,1,Clean
516,POLENTA,1,Clean
517,FIESTA,2,Clean
518,NON,1,Clean
519,RUB,2,Clean
520,NORI,1,Clean
521,SEMOLINA,1,Clean
522,TRAY,1,Clean
523,ISLAND,2,Clean
524,PYRAMID,3,Clean
525,CLUB,2,Clean
