,Name,Count,Cluster
273,FLAVOR,10,1
274,LEFT,10,1
275,AHEAD,10,1
276,ROASTING,10,1
277,COUNTER,10,1
278,LAY,10,1
279,WIDE,10,1
280,BACON,10,1
281,RELEASE,10,1
282,LEAVE,10,1
283,WONT,10,1
284,PEPPERMINT,10,1
285,CRUMB,10,1
286,BRULEE,9,1
287,CUSTARD,9,1
288,SIMMER,9,1
289,COLORING,9,1
290,BEAN,9,1
291,EASILY,9,1
292,STARCH,9,1
293,ACCORDING,9,1
294,PRETTY,9,1
295,SUBSTITUTE,9,1
296,UNBLEACHED,9,1
297,STICKING,9,1
298,MATZO,9,1
299,MIXED,9,1
300,DEEP,9,1
301,TART,9,1
302,JAM,9,1
303,FOAMY,9,1
304,TURNING,9,1
305,SEAL,9,1
306,TOSS,9,1
307,LONG,9,1
308,BOILER,9,1
309,CLOVER,9,1
310,COARSE,9,1
311,BISCUIT,8,1
312,GENEROUSLY,8,1
313,PECAN,8,1
314,UNCOVERED,8,1
315,AWAY,8,1
316,FOLDING,8,1
317,SOAK,8,1
318,FAVORITE,8,1
319,APART,8,1
320,ORGANIC,8,1
321,SANDWICH,8,1
322,PIPE,8,1
323,INSTANT,8,1
324,CLASSIC,8,1
325,HELP,8,1
326,TAPIOCA,8,1
327,RICH,8,1
328,TAP,8,1
329,BUTTERY,8,1
330,SQUEEZE,8,1
331,PITTED,8,1
332,CUTTER,8,1
333,DREAMY,8,1
334,YOUVE,8,1
335,CONE,8,1
336,MACE,8,1
337,FILLED,8,1
338,BEGIN,8,1
339,PANCAKE,8,1
340,CONVECTION,7,1
341,FLAP,7,1
342,PUFF,7,1
343,STRAINER,7,1
344,PEEL,7,1
345,DUSTING,7,1
346,WOODEN,7,1
347,WAFER,7,1
348,HOLLOW,7,1
349,THICKNESS,7,1
350,BOURBON,7,1
351,CORNER,7,1
352,RIMMED,7,1
353,VINEGAR,7,1
354,LOVE,7,1
355,HOMEMADE,7,1
356,WORRY,7,1
357,OUTSIDE,7,1
358,SIZED,7,1
359,SPONGE,7,1
360,CAYENNE,7,1
361,PEACH,7,1
362,THIRD,7,1
363,STOP,7,1
364,RAW,7,1
365,SECOND,7,1
366,FLATTEN,7,1
367,STEP,7,1
368,BIG,7,1
369,CRUMBLE,7,1
370,OAT,7,1
371,POKE,7,1
372,REMOVING,7,1
373,BURN,7,1
374,OVERMIX,7,1
375,PUSH,7,1
376,SAFE,7,1
377,SHORTENING,7,1
378,FROTHY,7,1
379,TENDER,7,1
380,THEYRE,7,1
381,PREHEATED,7,1
382,STRIP,7,1
383,POINT,6,1
384,REMAIN,6,1
