,Name,Count,Cluster
252,SAGE,44,-1
253,TENDERLOIN,44,-1
254,LONG,44,-1
255,TOWEL,44,-1
256,CHILL,44,-1
257,TORTILLA,43,-1
258,OPEN,43,-1
259,FAVORITE,43,-1
260,FRIED,43,-1
261,PLATTER,43,-1
262,GRAPE,43,-1
263,FREEZE,43,-1
264,DAIRY,42,-1
265,TURMERIC,42,-1
266,SANDWICH,42,-1
267,GO,42,-1
268,WASH,42,-1
269,ACCORDING,42,-1
270,ALUMINUM,42,-1
271,BARBECUE,41,-1
272,CRACKER,41,-1
273,STORE,41,-1
274,RESERVED,41,-1
275,SQUEEZE,40,-1
276,GRAVY,40,-1
277,CROCK,40,-1
278,INTERNAL,40,-1
279,INSIDE,40,-1
280,COCOA,40,-1
281,THERMOMETER,40,-1
282,ROMAINE,40,-1
283,X,39,-1
284,DESSERT,39,-1
285,VINAIGRETTE,39,-1
286,LINED,39,-1
287,FIRM,38,-1
288,SPICY,38,-1
289,EAT,38,-1
290,EVERYTHING,38,-1
291,TOAST,38,-1
292,BOARD,37,-1
293,WIRE,37,-1
294,FROSTING,37,-1
295,WET,37,-1
296,CRACKED,37,-1
297,UNCOVERED,37,-1
298,AHEAD,37,-1
299,KALE,37,-1
300,ROUND,37,-1
301,LEAVE,36,-1
302,ALMOND,36,-1
303,FULL,36,-1
304,EXCESS,36,-1
305,SIT,36,-1
306,INSERTED,36,-1
307,BANANA,36,-1
308,DEEP,36,-1
309,LENGTHWISE,36,-1
310,PINE,35,-1
311,LE,35,-1
312,RIGHT,35,-1
313,COUSCOUS,35,-1
314,CHILLED,35,-1
315,LOVE,35,-1
316,ATTACHMENT,34,-1
317,SHAKE,34,-1
318,EDGE,34,-1
319,SCRAPE,34,-1
320,EGGPLANT,34,-1
321,GRAIN,34,-1
322,WHISKING,34,-1
323,CHERRY,34,-1
324,HALFWAY,34,-1
325,BREAKFAST,34,-1
326,BUTTERMILK,33,-1
327,CONSTANTLY,33,-1
328,DIP,33,-1
329,MATZO,33,-1
330,RIB,33,-1
331,BROILER,33,-1
332,PINEAPPLE,33,-1
333,GENEROUSLY,33,-1
334,CIDER,33,-1
335,SUMMER,33,-1
336,SHALLOW,33,-1
337,LOIN,32,-1
338,MARINATE,32,-1
339,SEPARATE,32,-1
340,SIZED,32,-1
341,AWAY,32,-1
342,SAFE,31,-1
343,COARSE,31,-1
344,GREASE,31,-1
345,YEAST,31,-1
346,CRISPY,31,-1
347,SEAL,31,-1
348,WHIP,31,-1
349,RUBBER,31,-1
350,STEW,31,-1
351,FRAGRANT,31,-1
352,SHRED,31,-1
353,UNSWEETENED,30,-1
354,RIPE,30,-1
355,CLASSIC,30,-1
356,SUBSTITUTE,30,-1
357,SKIPPY,30,-1
358,LAY,30,-1
359,EVERY,30,-1
360,EASILY,29,-1
361,FIND,29,-1
362,POSITION,29,-1
363,NECESSARY,29,-1
364,THINLY,29,-1
365,TRAY,29,-1
366,VEGETARIAN,29,-1
367,APART,29,-1
368,STRAIN,29,-1
369,PREVENT,29,-1
370,SOAK,28,-1
371,SAVORY,28,-1
372,ROOT,28,-1
373,STARTING,28,-1
374,DOUBLE,28,-1
375,MASH,28,-1
376,FLAME,28,-1
377,CHALLAH,28,-1
378,SCRAPING,27,-1
379,WHIPPING,27,-1
380,PEACH,27,-1
381,ROLLING,27,-1
382,SHOULDER,27,-1
383,INSTANT,27,-1
384,BREAK,27,-1
385,PRO,27,-1
386,ARTICHOKE,27,-1
387,PUDDING,27,-1
388,STRAWBERRY,27,-1
389,RELEASE,27,-1
390,BEGIN,27,-1
391,SHELL,27,-1
392,THEYRE,27,-1
393,COLOR,27,-1
394,GRAHAM,27,-1
395,MANGO,26,-1
396,GRATE,26,-1
397,UNCOOKED,26,-1
398,STUFFING,26,-1
399,RUM,26,-1
400,THREE,26,-1
401,CHILE,26,-1
402,WOODEN,26,-1
403,BLUE,26,-1
404,FALL,26,-1
405,SEAR,26,-1
406,FLUFFY,26,-1
407,JELLY,26,-1
408,OUTSIDE,26,-1
409,BUTTERNUT,26,-1
410,SEED,26,-1
411,BURN,26,-1
412,STARCH,25,-1
413,STEAM,25,-1
414,SHALLOT,25,-1
415,BRISKET,25,-1
416,RAW,25,-1
417,FREEZER,25,-1
418,TOOTHPICK,25,-1
419,FINISH,24,-1
420,MUSHROOM,24,-1
421,BROWNING,24,-1
422,ATTACH,24,-1
423,INCORPORATED,24,-1
424,SEVERAL,24,-1
425,PASTRY,24,-1
426,LOAF,24,-1
427,SKIM,24,-1
428,TRANSLUCENT,23,-1
429,FILLED,23,-1
430,CRANBERRY,23,-1
431,BROWNIE,23,-1
432,LOWER,23,-1
433,HARD,23,-1
434,SUPER,23,-1
435,BRINE,23,-1
436,BITE,23,-1
437,CAVITY,23,-1
438,SLICING,23,-1
439,VODKA,22,-1
440,GOAT,22,-1
441,INSPIRED,22,-1
442,HELP,22,-1
443,FIT,22,-1
444,GLAZE,22,-1
445,STEM,22,-1
446,BUTTERY,22,-1
447,STOVE,22,-1
448,BREAKING,22,-1
449,EXCEPT,22,-1
450,RICH,22,-1
451,INCREASE,21,-1
452,TASTY,21,-1
453,CHEESECAKE,21,-1
454,THICKEN,21,-1
455,SPRIG,21,-1
456,HOLIDAY,21,-1
457,HEARTY,21,-1
458,OUTER,21,-1
459,QUICKLY,21,-1
460,FIRE,21,-1
461,MINCE,21,-1
462,DOG,21,-1
463,TRIM,21,-1
464,CIRCLE,21,-1
465,BIG,21,-1
466,STEP,20,-1
467,TWIST,20,-1
468,BUBBLY,20,-1
469,STRAINER,20,-1
470,SEMI,20,-1
471,STOP,20,-1
472,STICKY,20,-1
473,MARINATED,20,-1
474,ELECTRIC,20,-1
475,SECOND,19,-1
476,JAM,19,-1
477,FRYER,19,-1
478,THROW,19,-1
479,AIRTIGHT,19,-1
480,GRAPEFRUIT,19,-1
481,LOOK,19,-1
482,FLAVORED,19,-1
483,BRULEE,19,-1
484,WIDE,19,-1
485,GRADUALLY,19,-1
486,COUPLE,19,-1
487,COLANDER,19,-1
488,ENCHILADA,19,-1
489,DOESNT,18,-1
490,FLAVORFUL,18,-1
491,PREFER,18,-1
492,HEART,18,-1
493,SUN,18,-1
494,PUSH,18,-1
495,FLESH,18,-1
496,WATERMELON,18,-1
497,FINISHED,18,-1
498,ICING,18,-1
499,POINT,18,-1
500,MOIST,18,-1
501,TONGS,18,-1
502,TREAT,18,-1
503,SLAW,18,-1
504,RUN,18,-1
505,HOMEMADE,18,-1
506,THICKNESS,18,-1
507,EASIER,18,-1
508,TIE,18,-1
509,RISE,17,-1
510,PINK,17,-1
511,CRUSH,17,-1
512,APPETIZER,17,-1
513,STALK,17,-1
514,POMEGRANATE,17,-1
515,BALL,17,-1
516,DAL,17,-1
517,YOLK,17,-1
518,PORTION,17,-1
519,OYSTER,17,-1
520,PASSOVER,17,-1
521,TORN,17,-1
522,JACK,17,-1
523,ALLSPICE,17,-1
524,INSERT,17,-1
525,PREP,17,-1
526,GRAB,17,-1
527,AL,17,-1
528,HANDLE,17,-1
529,CEREAL,17,-1
530,COARSELY,16,-1
531,FENNEL,16,-1
532,PERFECTLY,16,-1
533,DISSOLVE,16,-1
534,PROMISE,16,-1
535,TOUCH,16,-1
536,SIRLOIN,16,-1
537,MILD,16,-1
538,REMOVING,16,-1
539,STIFF,16,-1
540,REALLY,16,-1
541,YOUVE,16,-1
542,SOFTEN,16,-1
543,WORKING,16,-1
544,TOTAL,16,-1
545,CANDY,16,-1
546,DIPPING,16,-1
547,COD,16,-1
548,WONT,16,-1
549,ABSORBED,16,-1
550,PEAR,16,-1
551,LOOSELY,15,-1
552,KIDNEY,15,-1
553,ALWAYS,15,-1
554,SETTING,15,-1
555,BELLY,15,-1
556,ASSEMBLE,15,-1
557,TART,15,-1
558,ENTIRE,15,-1
559,WILD,15,-1
560,DIRECTLY,15,-1
561,FEEL,15,-1
562,DECADENT,15,-1
563,TOSSING,15,-1
564,HERB,15,-1
565,NICELY,15,-1
566,PITA,15,-1
567,PREHEATED,15,-1
568,SQUARE,15,-1
569,SMOKE,15,-1
570,STICKING,15,-1
571,SIFT,15,-1
572,HASH,15,-1
573,BOTTLE,15,-1
574,STRIP,15,-1
575,NECTAR,15,-1
576,HOLD,15,-1
577,BASTING,15,-1
578,ANYTHING,15,-1
579,GRIND,15,-1
580,THATS,15,-1
581,SALTY,14,-1
582,SLOTTED,14,-1
583,HEATING,14,-1
584,METAL,14,-1
585,AVOID,14,-1
586,LIFT,14,-1
587,GENEROUS,14,-1
588,KNEAD,14,-1
589,LEFT,14,-1
590,SKEWER,14,-1
591,KNOW,14,-1
592,SWITCH,14,-1
593,STAR,14,-1
594,THIGH,14,-1
595,PULL,14,-1
596,IRON,14,-1
597,CARDAMOM,14,-1
598,GRINDER,14,-1
599,BEET,14,-1
600,SECURE,14,-1
601,ORDER,14,-1
602,BOX,13,-1
