,Name,Count,Cluster
0,PORK,294,3
1,GARLIC,71,3
2,HEAT,68,3
3,STIR,43,3
4,PAN,41,3
5,GINGER,33,3
6,SKILLET,30,3
7,COVER,29,3
8,TENDERLOIN,28,3
9,SOY,27,3
10,CUMIN,26,3
11,CLOVE,25,3
12,VINEGAR,24,3
13,SIDE,24,3
14,VEGETABLE,22,3
15,ROAST,22,3
16,WINE,22,3
17,LOIN,20,3
18,TRANSFER,20,3
19,CHILI,19,3
20,POT,19,3
21,SHOULDER,19,3
22,CINNAMON,18,3
23,GRILL,18,3
24,HIGH,17,3
25,CORIANDER,16,3
26,FISH,16,3
27,SIMMER,16,3
28,TENDER,16,3
29,LEMON,16,3
30,FOIL,15,3
31,LIME,14,3
32,POTATO,14,3
33,SALAD,14,3
34,CABBAGE,14,3
35,BOIL,13,3
36,BELLY,13,3
37,RUB,13,3
38,CORN,12,3
39,SAUTE,12,3
40,THYME,12,3
41,RICE,12,3
42,STOCK,12,3
43,FRY,11,3
44,BROTH,11,3
45,POUR,11,3
46,COOL,11,3
47,CHEESE,11,3
48,PAPRIKA,11,3
49,PREHEAT,11,3
50,SOUR,10,3
51,STIRRING,10,3
52,PUT,10,3
53,TOGETHER,10,3
54,DRAIN,10,3
55,CHILE,9,3
56,SEAR,9,3
57,MARINADE,9,3
58,SEASON,9,3
59,MINT,8,3
60,BEAN,8,3
61,SAUCEPAN,8,3
62,LETTUCE,8,3
63,TOMATO,8,3
64,ZEST,8,3
65,PREPARE,8,3
66,SMOKE,8,3
67,PUREE,8,3
68,INTERNAL,8,3
69,BANANA,8,3
70,SURFACE,8,3
71,REDUCE,8,3
72,TURNING,8,3
73,WRAP,8,3
74,ALLOW,8,3
75,CENTER,8,3
76,PASTE,7,3
77,SKIN,7,3
78,PEANUT,7,3
79,MINUTE,7,3
80,REFRIGERATE,7,3
81,PARSLEY,7,3
82,THICK,7,3
83,EGG,7,3
84,HOUR,7,3
85,WRAPPED,6,3
86,CAREFULLY,6,3
87,GARNISH,6,3
88,MEANWHILE,6,3
89,COCONUT,6,3
90,COOKER,6,3
91,GOLDEN,6,3
92,MUSTARD,6,3
93,CUCUMBER,6,3
94,WARM,6,3
95,COLD,6,3
96,ROLL,6,3
97,BOARD,6,3
98,DESIRED,6,3
99,PLUM,6,3
100,COUSCOUS,6,3
101,BASIL,6,3
102,RETURN,6,3
103,ROASTING,5,3
104,WORK,5,3
105,SIZED,5,3
106,BRINE,5,3
107,PROCESS,5,3
108,CAYENNE,5,3
109,COURTESY,5,3
110,ALLSPICE,5,3
111,ARRANGE,5,3
112,SEASONING,5,3
113,EVENLY,5,3
114,SOUP,5,3
115,PEACH,5,3
116,SEED,5,3
117,DISCARD,5,3
118,FIRE,5,3
119,STAR,5,3
120,AVOCADO,5,3
121,LARD,5,3
122,SANDWICH,5,3
123,CHOP,5,3
124,APART,5,3
125,ROOT,5,3
126,OVERNIGHT,5,3
127,CIDER,5,3
128,HONEY,5,3
129,ROSEMARY,5,3
130,GUAVA,5,3
131,BROIL,5,3
132,ALUMINUM,5,3
133,BOURBON,5,3
134,SEAL,5,3
135,TOSS,4,3
136,RACK,4,3
137,STAND,4,3
138,BEEF,4,3
139,FLIP,4,3
140,READY,4,3
141,PLATE,4,3
142,MARMALADE,4,3
143,PLANTAIN,4,3
144,CLAY,4,3
145,DOUGH,4,3
146,CUTTING,4,3
147,SIT,4,3
148,GENTLY,4,3
149,BLISTERED,4,3
150,FOLD,4,3
151,SHEET,4,3
152,SYRUP,4,3
153,MAPLE,4,3
154,LAYER,4,3
155,MIXED,4,3
156,SPRINKLE,4,3
157,DIRECT,4,3
158,CHUNKY,4,3
159,STRAIN,4,3
160,MIREPOIX,4,3
161,CARAMEL,4,3
162,COAT,4,3
163,SLOW,4,3
164,ANISE,4,3
165,SHRED,4,3
166,PLASTIC,4,3
167,KETCHUP,4,3
168,FINISH,4,3
169,BITE,4,3
170,BASE,4,3
171,DAIKON,4,3
172,NECESSARY,4,3
173,PERFECT,3,3
174,MAYONNAISE,3,3
175,TOWEL,3,3
176,ICE,3,3
177,FRAGRANT,3,3
178,RUM,3,3
179,NICELY,3,3
180,EXCESS,3,3
181,PROCESSOR,3,3
182,WRAPPER,3,3
183,PLATTER,3,3
184,QUICKLY,3,3
185,DEEP,3,3
186,SPINACH,3,3
187,SLIGHTLY,3,3
188,FLAVOR,3,3
189,RESERVE,3,3
190,AROUND,3,3
191,TONGS,3,3
192,DINNER,3,3
193,HOLD,3,3
194,COVERED,3,3
