,Name,Count,Cluster
0,CAKE,194,4
1,CHOCOLATE,54,4
2,PAN,54,4
3,VANILLA,42,4
4,COOL,33,4
5,BATTER,30,4
6,TOGETHER,27,4
7,EGG,24,4
8,SODA,23,4
9,POUR,22,4
10,FROSTING,22,4
11,MIXER,18,4
12,SPEED,17,4
13,SMOOTH,17,4
14,CINNAMON,17,4
15,TOOTHPICK,16,4
16,CLEAN,16,4
17,WHISK,16,4
18,PREHEAT,15,4
19,ALLOW,15,4
20,RACK,15,4
21,BEAT,15,4
22,PARCHMENT,15,4
23,STAND,14,4
24,PAPER,14,4
25,SIFT,14,4
26,COMPLETELY,14,4
27,WHIP,13,4
28,MOIST,12,4
29,COCONUT,12,4
30,INSERTED,12,4
31,HEAT,12,4
32,PLATE,11,4
33,CARAMEL,11,4
34,ONTO,11,4
35,MICROWAVE,11,4
36,MELTED,11,4
37,SIDE,11,4
38,CENTER,11,4
39,LAYER,10,4
40,FOLD,10,4
41,PUDDING,10,4
42,COCOA,10,4
43,PUMPKIN,10,4
44,SHEET,10,4
45,WHIPPED,9,4
46,GENTLY,9,4
47,THICK,9,4
48,HIGH,9,4
49,NUTMEG,9,4
50,STIR,9,4
51,BUTTERMILK,9,4
52,WIRE,9,4
53,PASSOVER,8,4
54,POP,8,4
55,TOPPING,8,4
56,ICING,8,4
57,TURN,8,4
58,ALMOND,8,4
59,SOUR,8,4
60,BLENDED,7,4
61,LOAF,7,4
62,STIFF,7,4
63,EDGE,7,4
64,LEMON,7,4
65,ANGEL,7,4
66,BOX,7,4
67,ATTACHMENT,7,4
68,MELT,7,4
69,FREEZE,7,4
70,RELEASE,7,4
71,CHECK,7,4
72,PUT,7,4
73,INCORPORATED,7,4
74,TIP,7,4
75,ROUND,7,4
76,FREEZER,6,4
77,FORM,6,4
78,ZEST,6,4
79,SLICING,6,4
80,VEGETABLE,6,4
81,CORN,6,4
82,WET,6,4
83,APPLESAUCE,6,4
84,POT,6,4
85,UNSWEETENED,6,4
86,SALTED,6,4
87,GREASE,6,4
88,LINE,6,4
89,SYRUP,6,4
90,SPRINKLE,6,4
91,COVERED,6,4
92,WHISKING,6,4
93,PIE,5,4
94,DESSERT,5,4
95,COVER,5,4
96,WORK,5,4
97,PRO,5,4
98,INSTANT,5,4
99,RUN,5,4
100,BAR,5,4
101,BALL,5,4
102,MINUTE,5,4
103,SLOWLY,5,4
104,SCRAPING,5,4
105,DRIZZLE,5,4
106,COLD,5,4
107,REFRIGERATE,5,4
108,X,5,4
109,LIBERALLY,4,4
110,FULLY,4,4
111,END,4,4
112,MOUSSE,4,4
113,DIP,4,4
114,ROLL,4,4
115,GRADE,4,4
116,RUBBER,4,4
117,EVENLY,4,4
118,REPEAT,4,4
119,ACCORDING,4,4
120,GELATIN,4,4
121,DOUBLE,4,4
122,BOILER,4,4
123,TRANSFER,4,4
124,REFRIGERATOR,4,4
125,AROUND,4,4
126,APPLE,4,4
127,POKE,4,4
128,COATED,4,4
129,HOUR,4,4
130,FLUFFY,4,4
131,PUREE,4,4
132,GINGER,4,4
133,OVERMIX,4,4
134,SCRAPE,4,4
135,STORE,4,4
136,WOODEN,3,4
137,DESIRED,3,4
138,COLOR,3,4
139,ELECTRIC,3,4
140,PLASTIC,3,4
141,ICE,3,4
142,WRAP,3,4
143,DAY,3,4
144,FUDGE,3,4
145,STREAM,3,4
146,PLATTER,3,4
147,SPICE,3,4
148,HEATH,3,4
149,THOROUGHLY,3,4
150,EASY,3,4
151,WONT,3,4
152,DONT,3,4
153,TEXTURE,3,4
154,SURFACE,3,4
155,SEPARATE,3,4
156,TARTAR,3,4
157,EXCESS,3,4
158,DUST,3,4
159,TILL,3,4
160,BEGIN,3,4
161,CRUMB,3,4
162,THIRD,3,4
163,CRISPY,3,4
164,PINEAPPLE,3,4
165,CRUMBLE,3,4
166,CHEESE,3,4
167,YOUD,3,4
168,PREPARE,3,4
169,GARNISH,3,4
170,CARROT,3,4
171,POTATO,2,4
172,READY,2,4
173,AWAY,2,4
174,HOMEMADE,2,4
175,GENEROUS,2,4
176,FOLDING,2,4
177,REMOVING,2,4
178,INSIDE,2,4
179,WHEAT,2,4
180,RIGHT,2,4
181,MINIMUM,2,4
182,ARRANGE,2,4
183,STIRRING,2,4
184,TREAT,2,4
185,SPONGE,2,4
186,CITRUS,2,4
187,MATZO,2,4
188,STARCH,2,4
189,RAINBOW,2,4
190,PERFECT,2,4
191,FITTED,2,4
192,BOTTOM,2,4
193,SEX,2,4
194,COOLING,2,4
195,HOLD,2,4
196,INSERT,2,4
197,BURN,2,4
198,INVERT,2,4
199,TOUCH,2,4
200,SPRINGY,2,4
201,MERINGUE,2,4
202,NECESSARY,2,4
203,PROCESS,2,4
204,SURE,2,4
205,PIPE,2,4
206,PASTRY,2,4
207,INCORPORATE,2,4
208,BLOCK,2,4
209,TOWEL,2,4
210,CIRCLE,2,4
211,BOURBON,2,4
212,BRIGHT,2,4
213,LOVE,2,4
214,FORK,2,4
215,SIMPLE,2,4
216,DRIP,2,4
217,CHOP,2,4
218,COAT,2,4
219,CELEBRATE,2,4
220,ALLSPICE,2,4
221,CORNER,2,4
222,GLAZE,2,4
223,WARM,2,4
224,SECOND,2,4
225,CRUMBLY,2,4
226,EASTER,2,4
227,THANKSGIVING,2,4
228,IMPRESS,2,4
229,TRY,2,4
230,ENTIRE,2,4
231,PRETTY,2,4
232,MOLASSES,2,4
233,PROCESSOR,2,4
234,AIRTIGHT,2,4
235,FOIL,2,4
236,STAMP,2,4
237,LE,2,4
238,HONEY,2,4
239,REALLY,2,4
240,STEP,2,4
241,FILL,2,4
242,RUNNY,2,4
243,EVERY,2,4
244,HAZELNUT,2,4
245,CHIP,2,4
246,DRAIN,2,4
247,OUTER,1,4
248,HELP,1,4
249,PERIMETER,1,4
250,FOAMY,1,4
251,THREE,1,4
252,ZIG,1,4
253,SQUEEZE,1,4
254,SCISSORS,1,4
255,CATCH,1,4
256,ZAG,1,4
257,SNIP,1,4
258,STARTING,1,4
259,WEATHER,1,4
260,FILLED,1,4
261,SHAGGY,1,4
262,FEEL,1,4
263,BLENDER,1,4
264,SKEWER,1,4
265,CHOPSTICK,1,4
266,ROLLING,1,4
267,FUTURE,1,4
268,SWIRL,1,4
269,START,1,4
270,TEA,1,4
271,DIPPED,1,4
272,BITTERSWEET,1,4
273,SHAKING,1,4
274,SUPER,1,4
275,TESTING,1,4
276,UNGREASED,1,4
277,MARBLE,1,4
278,NUTTY,1,4
279,CONVENTIONAL,1,4
280,YOLK,1,4
281,MIST,1,4
282,COLORING,1,4
283,BREAK,1,4
284,FULL,1,4
285,FALL,1,4
