,Name,Count,Cluster
0,POTATO,235,2
1,GARLIC,60,2
2,CHEESE,54,2
3,PAN,30,2
4,HEAT,28,2
5,ROSEMARY,23,2
6,SHEET,22,2
7,TENDER,18,2
8,STIR,16,2
9,SPRINKLE,15,2
10,SIDE,15,2
11,PREHEAT,15,2
12,SKILLET,14,2
13,STIRRING,13,2
14,SEASONING,13,2
15,ROAST,13,2
16,TILL,13,2
17,TOSS,12,2
18,EVENLY,12,2
19,GOLDEN,12,2
20,POT,11,2
21,BOIL,11,2
22,COVER,11,2
23,SIMMER,11,2
24,DESIRED,10,2
25,LAYER,10,2
26,SALAD,10,2
27,COOL,10,2
28,RETURN,10,2
29,AVOCADO,10,2
30,HIGH,9,2
31,SEASON,9,2
32,PARSLEY,9,2
33,SPINACH,9,2
34,DRAIN,9,2
35,PAPRIKA,9,2
36,RACK,9,2
37,CAREFULLY,9,2
38,FORK,9,2
39,BROCCOLI,9,2
40,PUT,9,2
41,LEMON,9,2
42,BROTH,8,2
43,LID,8,2
44,SAUTE,8,2
45,POUR,8,2
46,BOTTOM,8,2
47,MASH,8,2
48,SAUCEPAN,8,2
49,VINEGAR,8,2
50,WHISK,8,2
51,SOUR,8,2
52,TURKEY,8,2
53,WARM,7,2
54,EASY,7,2
55,DONT,7,2
56,MAYONNAISE,7,2
57,EGG,7,2
58,SURE,7,2
59,ROASTING,7,2
60,CREAMY,7,2
61,SKIN,6,2
62,TURN,6,2
63,BAKED,6,2
64,MIXER,6,2
65,REDUCE,6,2
66,PEEL,6,2
67,SPEED,6,2
68,COLD,6,2
69,GOLD,6,2
70,BROILER,6,2
71,TOMATO,6,2
72,MINUTE,6,2
73,BROIL,6,2
74,ALLOW,6,2
75,LEAN,5,2
76,FLAVOR,5,2
77,CORIANDER,5,2
78,BRUSH,5,2
79,BASIL,5,2
80,FRY,5,2
81,COAT,5,2
82,X,5,2
83,CORN,5,2
84,MELTED,5,2
85,TOPPED,5,2
86,BLENDER,5,2
87,CLOVE,5,2
88,CELERY,5,2
89,BEEF,5,2
90,LINE,5,2
91,COATED,5,2
92,BALSAMIC,5,2
93,FLIP,5,2
94,SLIGHTLY,5,2
95,DRESSING,5,2
96,SAVORY,5,2
97,PARCHMENT,5,2
98,COMPLETELY,4,2
99,BEAT,4,2
100,BOILING,4,2
101,AROUND,4,2
102,ARRANGE,4,2
103,CRISP,4,2
104,PROCESS,4,2
105,CENTER,4,2
106,COVERED,4,2
107,FOIL,4,2
108,MEANWHILE,4,2
109,FLESH,4,2
110,RUSSET,4,2
111,MICROWAVE,4,2
112,MIXED,4,2
113,TEXTURE,4,2
114,MARGARINE,4,2
115,PREFER,4,2
116,SMOOTH,4,2
117,STARCH,4,2
118,PAPER,4,2
119,SPICED,4,2
120,PERFECT,4,2
121,PASTE,4,2
122,EVERYTHING,4,2
123,TRY,4,2
124,CHOCOLATE,4,2
125,INSIDE,4,2
126,SAUSAGE,4,2
127,RESERVE,4,2
128,REFRIGERATOR,4,2
129,WHIPPING,4,2
130,DILL,4,2
131,SALTED,4,2
132,BONE,3,2
133,DRIZZLE,3,2
134,MASHING,3,2
135,BEGIN,3,2
136,MASHER,3,2
137,MUSTARD,3,2
138,BIT,3,2
139,SLOTTED,3,2
140,BED,3,2
141,TIGHT,3,2
142,RINSE,3,2
143,START,3,2
144,CHEESY,3,2
145,PLATE,3,2
146,ZUCCHINI,3,2
147,HEARTY,3,2
148,THICK,3,2
149,GENTLY,3,2
150,TOGETHER,3,2
151,IMMEDIATELY,3,2
152,FILLED,3,2
153,WORK,3,2
154,GRAIN,3,2
155,AHEAD,3,2
156,HEALTHY,3,2
157,PLASTIC,3,2
158,DAIRY,3,2
159,GREASE,3,2
160,GENEROUSLY,3,2
161,SIZZLE,3,2
162,WINE,3,2
163,CHOP,3,2
164,CASSEROLE,3,2
165,FULLY,3,2
166,LIME,3,2
167,FISH,3,2
168,ELECTRIC,3,2
169,SKINNY,3,2
170,UNCOVERED,3,2
171,CHIP,3,2
172,QUICK,3,2
173,GARNISH,3,2
174,FILL,3,2
175,VANILLA,3,2
176,ADJUST,3,2
177,TRANSFER,3,2
178,OPEN,3,2
179,SEASONED,3,2
180,CLEAN,3,2
181,SODA,3,2
182,EXCELLENT,3,2
183,VEGETARIAN,3,2
184,VEGETABLE,3,2
185,EXCEPT,2,2
186,SHAKE,2,2
187,MEALY,2,2
188,EMPTY,2,2
189,CRUSH,2,2
190,THEYRE,2,2
191,FLUFFY,2,2
192,FINISHED,2,2
193,WET,2,2
194,SHALLOT,2,2
195,INSERTED,2,2
196,READY,2,2
197,LATER,2,2
198,PIE,2,2
199,SUMMER,2,2
200,RESERVED,2,2
201,DINNER,2,2
202,SERRANO,2,2
203,SIMPLE,2,2
204,MINCE,2,2
205,STAND,2,2
206,WHEAT,2,2
207,FRAGRANT,2,2
208,SOUP,2,2
209,HAM,2,2
210,BASE,2,2
211,RUB,2,2
212,PREPARE,2,2
213,CHECK,2,2
214,STALK,2,2
215,THICKEN,2,2
216,THYME,2,2
