,Name,Count,Cluster
0,HEAT,433,2
1,GARLIC,415,2
2,LEMON,275,2
3,RICE,263,2
4,STIR,238,2
5,SIDE,209,2
6,GINGER,192,2
7,PAN,180,2
8,LIME,158,2
9,POT,152,2
10,HIGH,147,2
11,SKILLET,145,2
12,DRESSING,139,2
13,SOY,132,2
14,VINEGAR,132,2
15,SALAD,131,2
16,SHRIMP,128,2
17,POUR,124,2
18,HONEY,123,2
19,COVER,123,2
20,BOIL,113,2
21,TENDER,111,2
22,CHEESE,110,2
23,TOSS,107,2
24,GRILL,106,2
25,FISH,105,2
26,STIRRING,105,2
27,SEASON,103,2
28,SESAME,102,2
29,DESIRED,100,2
30,TOMATO,100,2
31,TOGETHER,98,2
32,SIMMER,96,2
33,PREHEAT,96,2
34,SPRINKLE,94,2
35,SHEET,93,2
36,BROTH,89,2
37,VEGETABLE,88,2
38,EGG,86,2
39,TURN,86,2
40,BROCCOLI,85,2
41,PARSLEY,85,2
42,TEA,84,2
43,AVOCADO,83,2
44,CHILI,78,2
45,BASIL,78,2
46,TILL,78,2
47,STOCK,78,2
48,RACK,77,2
49,SALMON,76,2
50,LETTUCE,76,2
51,FRY,75,2
52,BEEF,75,2
53,MUSTARD,74,2
54,MAYONNAISE,73,2
55,SOUP,73,2
56,FLAVOR,72,2
57,CLOVE,70,2
58,DRAIN,69,2
59,MINT,69,2
60,BREAST,69,2
61,BLENDER,69,2
62,CORN,68,2
63,EVENLY,68,2
64,WINE,68,2
65,GARNISH,68,2
66,ROAST,67,2
67,SAUTE,67,2
68,COAT,67,2
69,COOL,67,2
70,COCONUT,66,2
71,WARM,66,2
72,BONE,65,2
73,STEAK,64,2
74,PASTE,63,2
75,PAPRIKA,62,2
76,CUMIN,62,2
77,REDUCE,62,2
78,CABBAGE,61,2
79,READY,61,2
80,PAPER,60,2
81,CAYENNE,60,2
82,COLD,59,2
83,EASY,58,2
84,CREAMY,57,2
85,PUT,56,2
86,QUINOA,56,2
87,DONT,55,2
88,MARINADE,55,2
89,WHISK,55,2
90,GOLDEN,55,2
91,SPINACH,53,2
92,IMMEDIATELY,53,2
93,DRIZZLE,53,2
94,BLEND,52,2
95,CORNSTARCH,52,2
96,TRANSFER,52,2
97,REFRIGERATOR,52,2
98,TOFU,52,2
99,SEASONING,51,2
100,LAYER,51,2
101,CUCUMBER,50,2
102,SMOOTH,50,2
103,LID,49,2
104,ASPARAGUS,49,2
105,SKIN,48,2
